Codigo_IBGE,Municipio,UF,Regiao,Populacao_2022,PIB_per_capita_Calibrado,IDH_Calibrado,Classe_AB_PNAD,Penetracao_Internet_PNAD,Interesse_Google_Trends,Score_Realista,Franquias_Padrao_Realista,Franquias_Sofazinho_Realista,Total_Franquias_Realista,Tem_Franquia,Franquias_Atuais,Franquias_Padrao_Adicional,Franquias_Sofazinho_Adicional,Total_Franquias_Adicional,Classificacao_Realista,Ranking_Realista,Pop_Classe_AB,Mercado_Total_Servicos,Franquias_Padrao_Corrigida,Franquias_Sofazinho_Corrigida,Total_Franquias_Corrigida,Faturamento_Mensal_Estimado,Tipo_Recomendado,Franquias_Padrao_Adicional_Corrigida,Franquias_Sofazinho_Adicional_Corrigida,Total_Franquias_Adicional_Corrigida,Classificacao_Corrigida,Ranking_Corrigido,Payback_Meses
3550308,São Paulo,São Paulo,Sudeste,11451245,65000.0,0.9,32.5,87.5,50,32354313.199250594,46,0,46,True,26.0,20.0,0,20.0,Prioridade Máxima,1,3721654,58150,46,0,46,26336.05072463768,Padrão,20.0,0,20.0,Prioridade Máxima,1,2.6579535683576956
3304557,Rio de Janeiro,Rio de Janeiro,Sudeste,6211423,65000.0,0.9,28.9,85.8,50,15302567.406703636,25,0,25,True,13.0,12.0,0,12.0,Prioridade Máxima,2,1795101,28048,25,0,25,23373.333333333332,Padrão,12.0,0,12.0,Prioridade Máxima,2,2.994865944095836
5300108,Brasília,Distrito Federal,Centro-Oeste,2817068,60000.0,0.9,42.8,89.2,50,8630579.656638589,12,0,12,True,2.0,10.0,0,10.0,Prioridade Máxima,3,1205705,18839,12,0,12,32706.597222222223,Padrão,10.0,0,10.0,Prioridade Máxima,3,2.1402409894368066
3106200,Belo Horizonte,Minas Gerais,Sudeste,2315560,65000.0,0.9,20.8,78.9,50,3775586.648967392,10,0,10,True,3.0,7.0,0,7.0,Prioridade Máxima,4,481636,7525,10,0,10,15677.083333333334,Padrão,7.0,0,7.0,Prioridade Máxima,4,4.465116279069767
3518800,Guarulhos,São Paulo,Sudeste,1291784,65000.0,0.9,32.5,87.5,50,3649802.6303498647,6,0,6,True,2.0,4.0,0,4.0,Prioridade Máxima,5,419829,6559,6,0,6,22774.30555555556,Padrão,4.0,0,4.0,Prioridade Máxima,5,3.0736392742796155
3509502,Campinas,São Paulo,Sudeste,1138309,65000.0,0.9,32.5,87.5,50,3216174.826713231,5,0,5,True,5.0,0.0,0,0.0,Prioridade Máxima,6,369950,5780,5,0,5,24083.333333333332,Padrão,0.0,0,0.0,Prioridade Máxima,6,2.906574394463668
4106902,Curitiba,Paraná,Sul,1773733,56250.0,0.9,23.9,81.7,50,2729712.305572856,8,0,8,True,1.0,7.0,0,7.0,Prioridade Máxima,7,423922,6623,8,0,8,17247.395833333332,Padrão,7.0,0,7.0,Prioridade Máxima,7,4.0585837233881925
4314902,Porto Alegre,Rio Grande do Sul,Sul,1332570,56250.0,0.9,24.8,82.9,50,2159259.8886952284,6,0,6,True,2.0,4.0,0,4.0,Prioridade Máxima,8,330477,5163,6,0,6,17927.083333333332,Padrão,4.0,0,4.0,Prioridade Máxima,8,3.9047065659500295
3548708,São Bernardo do Campo,São Paulo,Sudeste,810729,59799.0,0.881,32.5,87.5,50,2062857.1308453323,4,0,4,True,1.0,3.0,0,3.0,Prioridade Máxima,9,263486,4116,4,0,4,21437.5,Padrão,3.0,0,3.0,Prioridade Máxima,9,3.2653061224489797
3304904,São Gonçalo,Rio de Janeiro,Sudeste,896744,59799.0,0.881,28.9,85.8,50,1989553.576498799,4,0,4,False,0.0,4.0,0,4.0,Prioridade Máxima,10,259159,4049,4,0,4,21088.541666666668,Padrão,4.0,0,4.0,Prioridade Máxima,10,3.3193381081748576
